n	extra-arr
1	2
2	4
3	10
4	16
5	24
6	32
7	40
8	48
9	58
10	68
11	78
12	88
13	98
14	108
15	118
16	128
17	140
18	152
19	164
20	176
21	188
22	200
23	212
24	224
25	236
26	248
27	260
28	272
29	284
30	296
31	308
32	320
33	334
34	348
35	362
36	376
37	390
38	404
39	418
40	432
41	446
42	460
43	474
44	488
45	502
46	516
47	530
48	544
49	558
50	572
51	586
52	600
53	614
54	628
55	642
56	656
57	670
58	684
59	698
60	712
61	726
62	740
63	754
64	768
65	784
66	800
67	816
68	832
69	848
70	864
71	880
72	896
73	912
74	928
75	944
76	960
77	976
78	992
79	1008
80	1024
81	1040
82	1056
83	1072
84	1088
85	1104
86	1120
87	1136
88	1152
89	1168
90	1184
91	1200
92	1216
93	1232
94	1248
95	1264
96	1280
97	1296
98	1312
99	1328
100	1344
